Date,Latitude,Longitude,Depth,Magnitude,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Status_Reviewed,Cluster
1965-04-16,64.572,-160.375,-0.7766486867831941,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,3
1965-04-18,41.46,-127.416,-1.1346795570743498,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,4
1965-04-18,-59.687,-26.454,-0.312731353622927,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,2
1965-04-18,-59.586,-26.372,-0.312731353622927,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,2
1965-04-19,34.848,138.332,-0.001780453857957312,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-04-24,11.451,140.231,0.6471782676567125,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-04-25,24.409,142.776,-0.14466252700223597,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-04-26,-1.733,126.568,-0.312731353622927,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-04-26,54.157,-162.59,0.0448400167301244,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,3
1965-04-26,21.045,120.798,0.052393653717797764,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-04-27,-6.822,129.504,-0.14466252700223597,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-04-27,35.626,23.425,0.5021230525639795,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-04-27,1.333,-85.075,-0.7766486867831941,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,4
1965-04-29,47.288,-122.406,0.5730473330403216,1.9443351346976394,0,0,0,0,1,0,0,0,0,0,4
1965-04-29,-5.548,110.332,2.475286414169797,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-05-01,60.35,-146.176,-0.7766486867831941,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,3
1965-05-02,28.927,128.769,-0.4093317365772393,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-05-03,-32.537,-70.569,0.8843213745408274,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,4
1965-05-03,13.683,-89.07,-0.7766486867831941,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,4
1965-05-03,-24.281,-67.927,1.0741572039769067,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,4
1965-05-04,41.801,79.414,-1.1346795570743498,0.8061302706376628,0,0,0,0,1,0,0,0,0,0,0
1965-05-12,-3.523,137.924,0.33103707754803124,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-05-12,-6.174,130.358,1.3876394373119612,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,0
1965-05-15,-4.131,134.946,-0.312731353622927,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-05-16,5.268,125.467,-0.001780453857957312,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-05-17,22.336,121.248,0.6253988609170711,1.9443351346976394,0,0,0,0,1,0,0,0,0,0,0
1965-05-19,-8.938,159.083,-0.001780453857957312,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-05-19,-6.575,105.311,-0.001780453857957312,-0.687580342010761,0,0,0,0,1,0,0,0,0,0,0
1965-05-19,-4.819,152.436,0.33103707754803124,-0.9520106862444903,0,0,0,0,1,0,0,0,0,0,0
1965-05-20,-14.921,167.34,1.156581559624977,3.9858832662597967,0,0,0,0,1,0,0,0,0,0,0
1965-05-22,1.309,126.239,-0.001780453857957312,-0.4278304274304214,0,0,0,0,1,0,0,0,0,0,0
1965-05-22,-21.126,-178.537,2.6116791807857087,0.5674992070954865,0,0,0,0,1,0,0,0,0,0,1
1965-05-23,52.149,175.119,-0.19205389727140104,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,0
1965-05-24,13.174,124.604,-0.312731353622927,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
1965-05-25,51.227,178.882,-0.1415851327065855,-0.17259813241902822,0,0,0,0,1,0,0,0,0,0,0
1965-05-26,-55.957,-27.875,1.1952722743057975,0.32492365030182424,0,0,0,0,1,0,0,0,0,0,2
1965-05-31,-7.566,128.578,1.3682212448482896,0.07827100303776077,0,0,0,0,1,0,0,0,0,0,0
